contract_id,contract_number,start_date,end_date,amount,fiscal_year,purpose,program_id,provider_id,agency_name
2,CT126020201411072,07/01/2019,06/30/2022,228450,FY2020,"To support youth guidance, leadership and career services",286,2,DYCD
3,CT181620201417221,07/01/2019,06/30/2020,212500,FY2020,Court-Involved Youth Mental Health Initiative,300,3,DOHMH
6,CT126020201417392,07/01/2019,06/30/2020,155334,FY2020,To support organizations that foster literacy development,264,6,DYCD
7,CT126020201415003,07/01/2019,06/30/2020,50000,FY2020,Funds will be used for operational expenses of youth program,264,7,DYCD
8,CT181620201416396,07/01/2019,06/30/2020,68103,FY2020,"Developmental, Psychological and Behavioral Health Services",302,8,DOHMH
9,CT181620201416727,07/01/2019,06/30/2020,165000,FY2020,Court-Involved Youth Mental Health Initiative / Member Items,300,9,DOHMH
10,CT106920201417927,07/01/2019,06/30/2020,200000,FY2020,Provision of Immigrant Opportunities Initiative Services,116,10,DSS
11,CT106920201417405,07/01/2019,06/30/2020,300000,FY2020,Homeless prevention services to veterans in New York City.,119,11,DSS
13,CT181620201416846,07/01/2019,06/30/2020,187500,FY2020,"Screening, Assessment & Evaluation/Telecommunications Upgrad",300,13,DOHMH
15,CT181620201416741,07/01/2019,06/30/2020,81000,FY2020,Geriatric Mental Health,300,15,DOHMH
16,CT126020201417644,07/01/2019,06/30/2020,6500,FY2020,This program support community  project educational workshop,264,16,DYCD
19,CT106920201417572,07/01/2019,06/30/2020,275000,FY2020,Legal Supportive Alternatives to Violent Encounters,122,10,DSS
21,CT126020201418091,07/01/2019,06/30/2020,9000,FY2020,"Funds to support the Drumline band camp, and music classes",264,20,DYCD
22,CT106920201416506,07/01/2019,06/30/2020,100000,FY2020,Provision of Legal Services for Low Income New Yorkers.,122,21,DSS
23,CT126020201417989,07/01/2019,06/30/2020,5000,FY2020,Support the operation of the 84th Precinct Community Council,264,22,DYCD
24,CT126020201415860,07/01/2019,06/30/2020,26000,FY2020,Provides free immigrant and youth recreational services,264,23,DYCD
25,CT126020201412455,07/01/2019,06/30/2020,5000,FY2020,To support arts and cultural programming at P.S. 4M.,264,24,DYCD
26,CT126020201408148,07/01/2019,06/30/2020,80000,FY2020,To fund afterschool debate tournament and wellness,264,25,DYCD
27,CT126020201416548,07/01/2019,06/30/2020,36000,FY2020,To support leadership and advocacy education & training.,264,26,DYCD
28,CT126020201417121,07/01/2019,06/30/2020,5000,FY2020,To support general operating expense.,264,27,DYCD
30,CT126020201415647,07/01/2019,06/30/2020,463000,FY2020,To support Neighborhood Improvement Program (NIP),264,29,DYCD
31,CT126020201415158,07/01/2019,06/30/2020,390000,FY2020,To support Neighborhood Improvement Program (NIP),264,29,DYCD
32,CT106920201417466,07/01/2019,06/30/2020,100000,FY2020,Provision of Legal Services for Low Income New Yorkers.,116,30,DSS
35,CT126020201409166,07/01/2019,06/30/2020,7500,FY2020,To provide social services program to community residents.,264,33,DYCD
39,CT181620201415984,07/01/2019,06/30/2020,350000,FY2020,Opioid Prevention and Treatment,302,16,DOHMH
40,CT181620201416503,07/01/2019,06/30/2020,242442,FY2020,Autism Awareness / Geriatric Mental Health,452,37,DOHMH
45,CT126020201414447,07/01/2019,06/30/2020,135000,FY2020,To support Young Women's Leadership Dev. Initiative,264,42,DYCD
47,CT106920201416967,07/01/2019,06/30/2020,625000,FY2020,"Prov. of fund to support EITC program, food pantries expans.",134,44,DSS
49,CT126020201417703,07/01/2019,06/30/2020,8500,FY2020,To support the Parent-Child Home program,264,3,DYCD
51,CT126020201409852,07/01/2019,06/30/2020,150000,FY2020,To support free education programming.,264,47,DYCD
52,CT181620201417929,07/01/2019,06/30/2020,20000,FY2020,City Council / Autism Awareness,297,48,DOHMH
53,CT126020201416862,07/01/2019,06/30/2020,100000,FY2020,To support afterschool activities.,264,49,DYCD
54,CT126020201416593,07/01/2019,06/30/2020,35000,FY2020,A Greener NYC supports environmentally friendly programs.,264,50,DYCD
55,CT126020201409907,07/01/2019,06/30/2020,5000,FY2020,This program offers tennis lessons to youth.,264,51,DYCD
56,CT126020201404901,07/01/2019,06/30/2020,5000,FY2020,This program offers hands on civic  education for youth.,264,52,DYCD
57,CT126020201415050,07/01/2019,06/30/2020,70000,FY2020,Leadership training programs for young  women and girls.,264,53,DYCD
61,CT126020201414359,07/01/2019,06/30/2020,37200,FY2020,To support food pantries and soup kitchens,264,56,DYCD
