program_id,program_name,program_aka,umbrella,collaborating_agencies,program_description,program_website,plain_language_eligibility,mandated_program,how_to_apply,agency_name
100,Alternative To Detention,,,,,,,,,MOCJ
101,Alternative To Incarceration,,,,,,,true,,MOCJ
102,Anti-gun Violence Initiative,,,,,,,,,MOCJ
103,Appellate Indigent Criminal Defense,,,,,,,,,MOCJ
104,Article 10 Petition Parental Representation,,,,,,,,,MOCJ
105,Assigned Domestic Violence Counsel,,,,,,,,,MOCJ
106,Child Advocacy Center,,,,,,,,,MOCJ
107,Community Based Programs,,,,,,,,,MOCJ
108,Court Advocacy Services,,,,,,,,,MOCJ
109,Court Based Programs,,,,,,,,,MOCJ
110,Crime Victims Services,,,,,,,,,MOCJ
111,Family Justice Center,,,,,,,,,MOCJ
112,Mediation Services,,,,,,,,,MOCJ
113,Social Welfare,,,,,,,,,MOCJ
114,Trial-Level Indigent Defense Representation,,,,,,,,,MOCJ
115,Youth Recreational Services/Youth Athletic Leagues,,,,,,,,,MOCJ
116,Adult Protective Services,,,,,,,,,DSS
117,CareerAdvance,,,,,,,,,DSS
118,CareerCompass,CC,,,Comprehensive Employment Assessment and Service Plan Coordination for Individuals over 25,,,false,Individuals receive social services assistance  such as cash assistance benefits.,DSS
119,Customized Assistance Services (CAS),CAS,,"[""human resources adminsitration""]","Customized Assistance Services (CAS) helps Human Resources Administration (HRA) clients with health and/or mental health conditions reach their highest attainable level of functioning and self-sufficiency by providing comprehensive, integrated, individual",https://www1.nyc.gov/site/hra/index.page,"CAS provides clinical expertise, recommendations, and direction to HRA in the fields of health, mental health, substance use and vocational rehabilitation. CAS staff provide psychiatric evaluation and crisis intervention services, housing eligibility serv",true,CAS works with other components of HRA and with other governmental and non-governmental service providers to create new programs and to integrate and refine existing services so the people it serves can achieve their maximum functional capacity.,DSS
120,Homebase Homelessness Prevention,,,,,,,,,DSS
121,Jobs Plus,,,,,,,,,DSS
122,Legal Services,OCJ,,,Low income and other vulnerable New Yorkers can apply for free legal assistance through OCJ's contracted partners.,www.nyc.gov/civiljustice,"Low income and other vulnerable New Yorkers are eligible for free legal assistance in the areas of housing, immigration, employment and other civil legal needs.",true,Can apply for free legal assistance through OCJ's contracted partners in person or via phone.,DSS
124,Placement Services,,,,,,,,,DSS
125,Rapid Re-Housing,Rapid Rehousing,,"[""human resources adminsitration""]",Assisting clients in  securing permanent housing that come from DHS referrals.,,DHS residence.,false,DHS referrals.,DSS
126,Teen Rapp,Teen RAPP  Relationship Abuse Prevention Program (RAPP),,"[""mayor’s office to end domestic and gender-based violence"",""department of education""]","This program is Teen RAPP, an extensive school-based domestic violence prevention program that operates in New York City middle and high schools.  RAPP Coordinators, who must have a Master of Social Work degree, conduct workshop and clinical counseling.",NA,A person is eligible if they are a New York City public school student in an educational institution served by the Teen RAPP program.,false,Non-Profit Providers are selected by a Competitive Request for Proposals(RFP).,DSS
127,WeCARE,,,,,,,,,DSS
128,YouthPathways,YP,,,"Services provided to young adults between the ages of 18 -24 years old in need of job training, education and other service will allow them to maintain employment",,,false,NYC DSS/HRA referral.,DSS
129,"Mental Health Services, Vocational",,,,,,,,,DSS
130,Adult Outreach Service,,,,,,,,,DSS
131,"Victim Services, Other",,,,,,,,,DSS
