provider_id,provider_name,hq_address_1,hq_address_2,hq_borough,hq_city,hq_state,hq_postcode,provider_ein,provider_website,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1,MAKE THE ROAD NEW YORK,301 Grove Street,,Brooklyn,Brooklyn,NY,11237,,,40.698448,-73.915629,304,37,433,3075926,3033170041,Bushwick North
2,NEW YORK URBAN LEAGUE INC,,,,,,,,,,,,,,,,
3,SCO FAMILY OF SERVICES,,,,,,,,,,,,,,,,
4,"JEWISH HOME LIFECARE, MANHATTAN",,,,,,,,,,,,,,,,
5,"HARTLEY HOUSE, INC.",,,,,,,,,,,,,,,,
6,THE CHILD CENTER OF NY INC,,,,,,,,,,,,,,,,
7,"ONE STOP RICHMOND HILL COMMUNITY CENTER, INC",,,,,,,,,,,,,,,,
8,HAMILTON MADISON HOUSE INC,,,,,,,,,,,,,,,,
9,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES IN,151 Lawrence Street,3rd Floor,Brooklyn,Brooklyn,NY,11201,132668080,www.cases.org,40.691506,-73.986297,302,33,11,3000404,3001520006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10,SANCTUARY FOR FAMILIES INC,"PO Box 1406, Wall Street Station",,Manhattan,New York,NY,10268,13-3193119,,,,,,,,,
11,PROJECT RENEWAL INC,,,,,,,,,,,,,,,,
12,DORCHESTER SENIOR CITIZEN CENTER INC,,,,,,,,,,,,,,,,
13,ASTOR SERVICES FOR CHILDREN & FAMILIES,,,,,,,,,,,,,,,,
14,SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION,,,,,,,,,,,,,,,,
15,THE BRIDGE INC,,,,,,,,,,,,,,,,
16,YMCA OF GREATER NEW YORK,,,,,,,,,,,,,,,,
17,NEW YORK ASIAN WOMENS CENTER INC,32 BROADWAY,10th Floor,Manhattan,New York,NY,10004,13-3286250,https://www.iamwomankind.org/,40.706045,-74.013096,101,1,9,1078979,1000220017,Battery Park City-Lower Manhattan
18,EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST INC,,,,,,,,,,,,,,,,
19,CYPRESS HILLS FULTON ST SENIOR CITIZENS CTR INC,,,,,,,,,,,,,,,,
20,BEREAN COMMUNITY & FAMILY LIFE CENTER INC,,,,,,,,,,,,,,,,
21,NEW YORK LEGAL ASSISTANCE GROUP  INC,7 Hanover Square,,Manhattan,New York,NY,10004,,,40.70447,-74.009406,101,1,9,1000855,1000300019,Battery Park City-Lower Manhattan
22,THE 84TH PRECINCT COMMUNITY COUNCIL CORP,,,,,,,,,,,,,,,,
23,Health Essential Association,,,,,,,,,,,,,,,,
24,USA MALI CHARITABLE ASSOCIATION OF NEW YORK,,,,,,,,,,,,,,,,
25,BELLA ABZUG LEADERSHIP INSTITUTE INC,,,,,,,,,,,,,,,,
26,ASIAN AMERICAN COALITION FOR CHILDREN AND FAMILIES INC,,,,,,,,,,,,,,,,
27,RIDGEWOOD PROPERTY OWNERS AND CIVIC ASSOCIATION INC,,,,,,,,,,,,,,,,
28,"SELFHELP COMMUNITY SERVICES, INC.",520 8th Avenue,5th Fl,Manhattan,New York,NY,10018,13-1624178,www.selfhelp.net,40.753612,-73.992417,105,3,109,1083624,1007860001,Midtown-Midtown South
29,WILDCAT SERVICE CORPORATION,633 3RD AVENUE,6th Floor,,New York,NY,10017,132725423,,,,,,,,,
30,THE LEGAL AID SOCIETY,199 Water Street,,Manhattan,New York,NY,10038,13-5562265,n/a,40.70727,-74.004314,101,1,1502,1001162,1000747501,Battery Park City-Lower Manhattan
31,CAMBA INC,1720 Church Avenue,,,Brooklyn,NY,11226,,,,,,,,,,
32,FEDERATION OF PROTESTANT WELFARE AGENCIES INC,,,,,,,,,,,,,,,,
33,Chinese American Social Services Center Inc,,,,,,,,,,,,,,,,
