site_id,provider_id,program_id,contract_id,agency_name,bbl,bin,community_board,council_district,latitude,longitude,nta,census_tract,catchment_type,catchment_zone,catchment_intersection_1,catchment_intersection_2,fixed_address,address_1,address_2,borough,city,state,postcode,site_name,site_budget,notes,accepts_dropins,language_taxonomy,service_taxonomy,population_taxonomy,service_setting_taxonomy,bp_category,bp_population,capacity,capacity_units,serves_food,catchment_description,state_senate_district,state_assembly_district
26,31,120,3111,DSS,3015480019,3042090,303,41,40.678793,-73.920384,BK79,301,,,,,true,1958 FULTON STREET,2nd floor,brooklyn,brooklyn,NY,11233,CAMBA INC_Brooklyn,4964641.70,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,25,55
27,31,120,3111,DSS,3013900044,3259314,308,35,40.668837,-73.931675,BK61,351,,,,,true,1117 EASTERN PARKWAY,,brooklyn,brooklyn,NY,11213,CAMBA INC_Brooklyn,0.00,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,20,56
28,31,120,3099,DSS,3051030042,3117228,314,40,40.650423,-73.957825,BK95,794,,,,,true,2244 CHURCH AVENUE,4th floor,brooklyn,brooklyn,NY,11226,CAMBA INC_Brooklyn,2786303.17,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,21,42
52,728,179,3436,DOHMH,5001340053,5003448,501,49,40.634691,-74.105857,SI35,67,,,,,true,690 CASTLETON AVENUE,1ST FLOOR,staten is,staten island,NY,10310,RICHMOND MEDICAL CENTER_Staten Island,,,false,,,,,,,,,false,,24,61
53,671,179,3264,DOHMH,1021400050,1085495,112,10,40.842399,-73.944074,MN36,255,,,,,true,1051 RIVERSIDE DRIVE,,manhattan,new york,NY,10032,RESEARCH FOUNDATION FOR MENTAL HYGIENE INC_Manhattan,,,false,,,,,,,,,false,,31,71
54,512,183,3431,DOHMH,5000050065,5000027,501,49,40.641112,-74.076825,SI22,3,,,,,true,25 CENTRAL AVENUE,,staten is,staten island,NY,10301,PROJECT HOSPITALITY INC_Staten Island,,,false,,,,,,,,,false,,23,61
60,162,181,3258,DOHMH,2033280025,2017792,207,11,40.883971,-73.880267,BX43,431,,,,,true,3550 JEROME AVENUE,,bronx,bronx,NY,10467,MONTEFIORE MEDICAL CENTER_Bronx,,,false,,,,,,,,,false,,36,81
61,162,181,3258,DOHMH,2031790004,2127653,205,14,40.854218,-73.906958,BX41,241,,,,,true,2058 JEROME AVENUE,,bronx,bronx,NY,10453,MONTEFIORE MEDICAL CENTER_Bronx,,,false,,,,,,,,,false,,33,86
62,162,181,3258,DOHMH,2042260130,2115332,211,13,40.846147,-73.841824,BX37,284,,,,,true,1510 WATERS PLACE,,bronx,bronx,NY,10461,MONTEFIORE MEDICAL CENTER_Bronx,,,false,,,,,,,,,false,,34,82
63,162,181,3258,DOHMH,2024430100,2002457,204,16,40.825685,-73.918817,BX14,61,,,,,true,260 EAST 161 STREET,,bronx,bronx,NY,10451,MONTEFIORE MEDICAL CENTER_Bronx,,,false,,,,,,,,,false,,32,79
64,162,181,3258,DOHMH,2025890016,2004004,201,17,40.803749,-73.910265,BX39,19,,,,,true,804 EAST 138 STREET,,bronx,bronx,NY,10454,MONTEFIORE MEDICAL CENTER_Bronx,,,false,,,,,,,,,false,,29,84
65,924,181,3197,DOHMH,2026120007,2004246,203,16,40.83172,-73.903756,BX35,149,,,,,true,1276 FULTON AVENUE,,bronx,bronx,NY,10456,BRONX-LEBANON HOSPITAL CENTER_Bronx,,,false,,,,,,,,,false,,32,79
66,876,181,3179,DOHMH,1009050030,1019792,106,2,40.738841,-73.980225,MN20,66,,,,,true,429-35 SECOND AVENUE,GROUND FLOOR,manhattan,new york,NY,10010,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,28,74
67,876,181,3179,DOHMH,1009050030,1019792,106,2,40.738841,-73.980225,MN20,66,,,,,true,429-35 SECOND AVENUE,"2ND FLOOR, 2C",manhattan,new york,NY,10010,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,28,74
68,876,181,3179,DOHMH,1009050030,1019792,106,2,40.738841,-73.980225,MN20,66,,,,,true,429-35 SECOND AVENUE,"3RD FLOOR, 3G",manhattan,new york,NY,10010,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,28,74
69,876,181,3179,DOHMH,1003980001,1004961,103,2,40.723167,-73.985623,MN22,3002,,,,,true,26 AVENUE A,,manhattan,new york,NY,10009,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,26,65
70,876,181,3179,DOHMH,1004090053,1005301,103,1,40.718633,-73.988489,MN27,18,,,,,true,109-11 DELANCEY STREET,,manhattan,new york,NY,10002,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,26,65
71,876,181,3179,DOHMH,1017740001,1054472,111,9,40.805258,-73.938875,MN34,196,,,,,true,1825 PARK AVENUE,8TH FLOOR,manhattan,new york,NY,10035,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,30,68
72,876,181,3179,DOHMH,1017740001,1054472,111,9,40.805258,-73.938875,MN34,196,,,,,true,1825 PARK AVENUE,2ND FLOOR,manhattan,new york,NY,10035,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,30,68
73,876,181,3179,DOHMH,1017740001,1054472,111,9,40.805258,-73.938875,MN34,196,,,,,true,1825 PARK AVENUE,4TH FLOOR,manhattan,new york,NY,10035,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,30,68
74,876,181,3179,DOHMH,1019090012,1057820,110,9,40.808451,-73.947112,MN11,222,,,,,true,132 WEST 125 STREET,6TH FLOOR,manhattan,new york,NY,10027,BETH ISRAEL MEDICAL CENTER_Manhattan,,,false,,,,,,,,,false,,30,70
160,30,119,548,DSS,1000747501,1001162,101,1,40.70727,-74.004314,MN25,1502,,,,,true,199 WATER STREET,3rd fl,manhattan,new york,NY,10038,The Legal Aid Society,,,false,,,,,,,,,false,,26,65
161,82,116,3257,DSS,1007870011,1014454,105,3,40.753475,-73.990594,MN17,109,,,,,true,247 WEST 37 STREET,9th Floor,manhattan,new york,NY,10018,JASA Community Guardian Program,,"Services are provided in the community, primarily",false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client fiscal management"",""client evaluation/assessment"",""client monitoring"",""community court appointed guardian services""]","[""court involved"",""housing court involved"",""adults"",""aging"",""individuals with disabilities""]","[""home"",""court""]","[""people with disabilities""]","[""seniors""]",700,people,false,,31,75
162,28,116,3241,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,Selfhelp Community Guardian Program,,Site location is same as the HQ.  Services are provided primarily at clients home.,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client fiscal management"",""client evaluation/assessment"",""client monitoring"",""psychiatric treatment services"",""community court appointed guardian services""]","[""court involved"",""aging"",""adults"",""individuals with mental disabilities"",""individuals with mental illness"",""retired individuals""]","[""home""]","[""people with disabilities"",""housing"",""cash & expenses""]","[""seniors""]",700,people,false,Case workers provide case management services citywide  at client's home.,,
163,935,116,3269,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,New York Foundation Community Guardian Program,,The site is the same as the HQ address. Services are provided at client's homes.,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client evaluation/assessment"",""client fiscal management"",""client monitoring"",""community court appointed guardian services""]","[""court involved"",""court appointed advocate required/assigned"",""individuals with behavioral disabilities"",""adults"",""individuals with disabilities"",""ssi recipients"",""aging""]","[""court"",""home""]","[""housing"",""people with disabilities""]","[""seniors"",""people with disabilities""]",700,people,false,Citywide delivery of  case management services.,,
164,901,116,3028,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,Village Center Care for Care Adult Protective Services (APS) Program,,Village Care APS provides case management services at clients' homes.,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client evaluation/assessment"",""client monitoring"",""client fiscal management""]","[""court involved"",""adults"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients"",""low income individuals""]","[""home"",""court""]","[""people with disabilities"",""housing"",""cash & expenses""]","[""seniors"",""nycha residents""]",450,people,false,serves citywide.,,
165,75,116,3281,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,TSINY Adult Protective Services,,Services are provided at clients' homes.,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client fiscal management"",""client evaluation/assessment"",""client monitoring""]","[""adults"",""housing court involved"",""individuals with disabilities"",""aging"",""ssd recipients"",""ssi recipients""]","[""home"",""court""]","[""housing"",""people with disabilities"",""cash & expenses""]","[""seniors""]",300,people,false,Case management services are provided at client homes.,,
166,82,116,3257,DSS,,,,,,,,,borough,"[""brooklyn""]",,,false,,,,,,,JASA BROOKLYN,,Case management services primarily conducted at client home.,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]",,"[""court appointed advocate required/assigned"",""adults"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients""]","[""home"",""court""]","[""housing"",""people with disabilities""]","[""seniors"",""nycha residents""]",390,people,false,Case management services primarily conducted at client home.,,
167,82,116,3267,DSS,,,,,,,,,borough,"[""manhattan""]",,,false,,,,,,,JASA APS Manhattan,,,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""hindi"",""korean"",""russian"",""spanish""]","[""case management"",""client fiscal management"",""client evaluation/assessment"",""client monitoring""]","[""court appointed advocate required/assigned"",""housing court involved"",""adults"",""individuals with disabilities"",""ssd recipients"",""ssi recipients"",""aging""]","[""court"",""home""]","[""housing"",""people with disabilities""]","[""seniors""]",330,people,false,Case management services in Manhattan.,,
168,507,120,3079,DSS,2050350034,2097441,212,11,40.899174,-73.85825,BX62,418,,,,,true,4377 BRONX BOULEVARD,,bronx,bronx,NY,10466,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,3674734.32,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,36,81
169,82,116,3267,DSS,,,,,,,,,borough,"[""queens""]",,,false,,,,,,,JASA APS Queens,,,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client fiscal management"",""client monitoring"",""client evaluation/assessment""]","[""housing court involved"",""adults"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients""]","[""home"",""court""]","[""people with disabilities"",""housing""]","[""seniors""]",240,people,false,,,
170,82,116,3267,DSS,,,,,,,,,borough,"[""brooklyn""]",,,false,,,,,,,JASA APS Brooklyn,,,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client evaluation/assessment"",""client fiscal management"",""client monitoring""]","[""court involved"",""adults"",""housing court involved"",""aging"",""individuals with disabilities"",""ssd recipients"",""ssi recipients""]","[""court"",""home""]","[""people with disabilities"",""housing""]","[""seniors""]",390,people,false,,,
171,570,120,3165,DSS,2046050012,2056409,212,12,40.871373,-73.862808,BX44,372,,,,,true,815 BURKE AVENUE,,bronx,bronx,NY,10467,HELP SOCIAL SERVICE CORPORATION_Bronx,4962588.09,,true,"[""english""]","[""preventive services""]",,"[""office""]","[""housing""]",,,people,false,,36,83
172,570,120,3173,DSS,2039270001,2028718,209,18,40.840885,-73.865314,BX08,21601,,,,,true,1860 East Tremont Ave,,bronx,bronx,NY,10453,HELP SOCIAL SERVICE CORPORATION_Bronx,3090094.24,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,32,87
173,40,120,3112,DSS,2024620042,2002833,204,16,40.832331,-73.91959,BX14,18102,,,,,true,1130 GRAND CONCOURSE,,bronx,bronx,NY,10456,BRONXWORKS INC_Bronx,4592302.56,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,32,77
174,40,120,3132,DSS,2026430001,2004558,201,8,40.815426,-73.908281,BX34,73,,,,,true,630 JACKSON AVENUE,,bronx,bronx,NY,10451,BRONXWORKS INC_Bronx,2746657.53,,true,,"[""preventive services""]",,"[""office""]","[""housing""]",,,,false,,29,84
175,507,120,3055,DSS,2027390015,2005939,202,17,40.817286,-73.89184,BX27,93,,,,,true,890 GARRISON AVENUE,,bronx,bronx,NY,10474,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,3673954.33,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,32,85
